epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,2778.22,0.52717,0.97071,0.90095,0.74628,0.81861,0.83873,0.72875,0.59602,0.87074,0.87661,6.79692e-05,6.79692e-05,6.79692e-05
59,2824.08,0.52842,0.95022,0.89957,0.75992,0.79433,0.82777,0.71279,0.61606,0.88129,0.87953,6.64248e-05,6.64248e-05,6.64248e-05
60,2869.82,0.52205,0.93654,0.89954,0.74385,0.80782,0.83474,0.72025,0.607,0.86241,0.87008,6.48804e-05,6.48804e-05,6.48804e-05
61,2915.92,0.52361,0.91427,0.90146,0.72196,0.78949,0.82452,0.72087,0.59061,0.86744,0.87259,6.3336e-05,6.3336e-05,6.3336e-05
62,2961.33,0.52299,0.91987,0.89646,0.74141,0.79497,0.82656,0.72134,0.59044,0.8758,0.87372,6.17916e-05,6.17916e-05,6.17916e-05
63,3007.23,0.50825,0.90532,0.89534,0.7413,0.80737,0.83126,0.71889,0.60267,0.85076,0.869,6.02472e-05,6.02472e-05,6.02472e-05
64,3052.95,0.51217,0.90412,0.89396,0.724,0.81471,0.83128,0.71834,0.60139,0.87186,0.86949,5.87028e-05,5.87028e-05,5.87028e-05
65,3098.91,0.51174,0.89511,0.88815,0.77717,0.78446,0.83547,0.72844,0.59307,0.83569,0.86742,5.71584e-05,5.71584e-05,5.71584e-05
66,3144.55,0.50552,0.87565,0.89301,0.72705,0.80836,0.82575,0.71527,0.59835,0.84858,0.87031,5.5614e-05,5.5614e-05,5.5614e-05
67,3190.21,0.50398,0.8901,0.89645,0.74993,0.80413,0.8226,0.71321,0.5975,0.85357,0.87471,5.40696e-05,5.40696e-05,5.40696e-05
68,3235.97,0.50687,0.88673,0.89116,0.74684,0.80521,0.82533,0.71646,0.5929,0.85287,0.8706,5.25252e-05,5.25252e-05,5.25252e-05
69,3281.6,0.50339,0.88164,0.89191,0.77433,0.77513,0.83831,0.7283,0.58578,0.84431,0.86511,5.09808e-05,5.09808e-05,5.09808e-05
70,3327.3,0.51239,0.8922,0.89007,0.76477,0.80983,0.83662,0.72795,0.59181,0.83665,0.86821,4.94364e-05,4.94364e-05,4.94364e-05
71,3373.13,0.50101,0.876,0.89185,0.76475,0.78387,0.83097,0.72038,0.59136,0.84154,0.86633,4.7892e-05,4.7892e-05,4.7892e-05
72,3418.68,0.50032,0.85648,0.88467,0.75539,0.83006,0.82858,0.71681,0.59554,0.83933,0.8678,4.63476e-05,4.63476e-05,4.63476e-05
73,3464.85,0.50501,0.87932,0.88795,0.78115,0.80689,0.83761,0.7273,0.59571,0.83731,0.86583,4.48032e-05,4.48032e-05,4.48032e-05
74,3510.31,0.51035,0.85754,0.88705,0.8173,0.77878,0.84637,0.73725,0.58993,0.82239,0.86404,4.32588e-05,4.32588e-05,4.32588e-05
